"Bitcoin Core Version","Num all files","Size all files (B)","Num code files (cpp, py, c, h, sh, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram","Code file extenension histogram",
"bitcoin-0.10.0","1083","14903579","580","4721951","*","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","*",".h (233), .cpp (179), .png (126), .md (88), .ts (71), .cc (70),  (42), .py (41), .mk (39), .sh (16), .m4 (16), .ui (16), .pgp (11), .bmp (11), .json (11), .svg (9), .txt (8), .hex (8), .in (7), .c (7), .yml (6), .ico (6), .xpm (5), .conf (4), .rc (4), .am (3), .include (3), .html (3), .ac (2), .bash-completion (2), .install (2), .lintian-overrides (2), .1 (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .plist (1), .guess (1), .sub (1), .packages (1), .usage (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .asm (1), .java (1), .raw (1)",".h (233), .cpp (179), .py (41), .sh (16), .c (7), .java (1)",
"bitcoin-0.10.1","1087","15095814","583","4744552","*","7899","3584","102","0.09383624655013799","6635724","0.43957377853224744","*","777","344","28","0.048027444253859346","655429","0.13814349595072412","*",".h (233), .cpp (180), .png (126), .md (89), .ts (71), .cc (70), .py (43),  (42), .mk (39), .sh (16), .m4 (16), .ui (16), .pgp (11), .bmp (11), .json (11), .svg (9), .txt (8), .hex (8), .in (7), .c (7), .yml (6), .ico (6), .xpm (5), .conf (4), .rc (4), .am (3), .include (3), .html (3), .ac (2), .bash-completion (2), .install (2), .lintian-overrides (2), .1 (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .plist (1), .guess (1), .sub (1), .packages (1), .usage (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .asm (1), .java (1), .raw (1)",".h (233), .cpp (180), .py (43), .sh (16), .c (7), .java (1)",
"bitcoin-0.10.2","1087","15236204","583","4745189","*","3687","703","80","0.07359705611775529","6004849","0.39411713048735764","*","23","8","5","0.008576329331046312","84831","0.01787726474119366","*",".h (233), .cpp (180), .png (126), .md (89), .ts (71), .cc (70), .py (43),  (42), .mk (39), .sh (16), .m4 (16), .ui (16), .pgp (11), .bmp (11), .json (11), .svg (9), .txt (8), .hex (8), .in (7), .c (7), .yml (6), .ico (6), .xpm (5), .conf (4), .rc (4), .am (3), .include (3), .html (3), .ac (2), .bash-completion (2), .install (2), .lintian-overrides (2), .1 (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .plist (1), .guess (1), .sub (1), .packages (1), .usage (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .asm (1), .java (1), .raw (1)",".h (233), .cpp (180), .py (43), .sh (16), .c (7), .java (1)",
"bitcoin-0.10.3","1087","15275510","583","4750771","*","4534","3716","99","0.09107635694572216","6585714","0.43112891157152855","*","151","56","29","0.04974271012006861","789491","0.16618165767198628","*",".h (233), .cpp (180), .png (126), .md (89), .ts (71), .cc (70), .py (43),  (42), .mk (39), .sh (16), .m4 (16), .ui (16), .pgp (11), .bmp (11), .json (11), .svg (9), .txt (8), .hex (8), .in (7), .c (7), .yml (6), .ico (6), .xpm (5), .conf (4), .rc (4), .am (3), .include (3), .html (3), .ac (2), .bash-completion (2), .install (2), .lintian-overrides (2), .1 (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .plist (1), .guess (1), .sub (1), .packages (1), .usage (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .asm (1), .java (1), .raw (1)",".h (233), .cpp (180), .py (43), .sh (16), .c (7), .java (1)",
"bitcoin-0.10.4","1094","15344555","585","4772802","*","1897","454","62","0.056672760511883","1791224","0.11673352534498393","*","635","264","32","0.0547008547008547","698365","0.14632180425670288","*",".h (233), .cpp (180), .png (126), .md (93), .ts (71), .cc (70), .py (45),  (42), .mk (39), .sh (16), .m4 (16), .ui (16), .pgp (11), .bmp (11), .json (11), .svg (9), .txt (8), .hex (8), .in (7), .c (7), .yml (6), .ico (6), .xpm (5), .conf (4), .rc (4), .am (3), .install (3), .include (3), .html (3), .ac (2), .bash-completion (2), .lintian-overrides (2), .1 (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .plist (1), .guess (1), .sub (1), .packages (1), .usage (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .asm (1), .java (1), .raw (1)",".h (233), .cpp (180), .py (45), .sh (16), .c (7), .java (1)",
"bitcoin-0.11.1","1141","17029718","625","5293803","*","37242","24939","767","0.6722173531989483","12749790","0.7486788683171383","*","23971","9801","443","0.7088","4055688","0.766119933061355","*",".h (249), .cpp (189), .png (123), .md (96), .ts (71), .cc (70), .py (61),  (42), .mk (37), .sh (16), .ui (16), .m4 (15), .svg (15), .pgp (13), .bmp (11), .json (9), .in (8), .txt (8), .c (8), .hex (8), .yml (7), .rc (5), .ico (5), .xpm (5), .conf (4), .am (3), .1 (3), .include (3), .html (3), .ac (2), .bash-completion (2), .install (2), .lintian-overrides (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .tiff (1), .plist (1), .strings (1), .guess (1), .sub (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .java (1), .raw (1)",".h (249), .cpp (189), .py (61), .sh (16), .c (8), .java (1)",
"bitcoin-0.11.2","1146","17081012","627","5320941","*","1366","465","65","0.056719022687609075","1155791","0.06766525308921978","*","757","281","39","0.06220095693779904","909461","0.17092108331966094","*",".h (249), .cpp (189), .png (123), .md (98), .ts (71), .cc (70), .py (63),  (42), .mk (37), .sh (16), .ui (16), .m4 (15), .svg (15), .pgp (13), .bmp (11), .json (9), .in (8), .txt (8), .c (8), .hex (8), .yml (7), .rc (5), .ico (5), .xpm (5), .conf (4), .am (3), .install (3), .1 (3), .include (3), .html (3), .ac (2), .bash-completion (2), .lintian-overrides (2), .pem (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .tiff (1), .plist (1), .strings (1), .guess (1), .sub (1), .pri (1), .xcf (1), .css (1), .proto (1), .icns (1), .java (1), .raw (1)",".h (249), .cpp (189), .py (63), .sh (16), .c (8), .java (1)",
"bitcoin-0.12.0","1270","19038621","728","6159950","*","59370","22002","803","0.6322834645669292","13555940","0.7120232079833934","*","32242","8848","493","0.6771978021978022","4773321","0.7748960624680395","*",".h (267), .cpp (203), .png (122), .md (105), .py (85), .ts (77), .cc (70), .json (50),  (48), .mk (39), .pgp (19), .svg (17), .ui (16), .sh (15), .m4 (15), .c (13), .in (10), .hex (10), .yml (8), .txt (7), .include (7), .xpm (5), .am (4), .conf (4), .rc (4), .ac (3), .install (3), .1 (3), .html (3), .bash-completion (2), .lintian-overrides (2), .plist (2), .pem (2), .ico (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .tiff (1), .strings (1), .guess (1), .sub (1), .pri (1), .css (1), .proto (1), .icns (1), .java (1), .raw (1)",".h (267), .cpp (203), .py (85), .sh (15), .c (13), .java (1)",
"bitcoin-0.12.1","1283","19368444","735","6292977","*","9391","1324","93","0.0724863600935308","3991734","0.20609471777908436","*","2879","148","47","0.06394557823129252","1285479","0.20427200035849488","*",".h (268), .cpp (205), .png (122), .md (105), .py (89), .ts (83), .cc (70), .json (50),  (48), .mk (39), .pgp (19), .svg (17), .ui (16), .sh (15), .m4 (15), .c (13), .in (10), .hex (10), .yml (8), .txt (7), .include (7), .xpm (5), .am (4), .conf (4), .rc (4), .ac (3), .install (3), .1 (3), .html (3), .bash-completion (2), .lintian-overrides (2), .plist (2), .pem (2), .ico (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .psd (1), .tiff (1), .strings (1), .guess (1), .sub (1), .pri (1), .css (1), .proto (1), .icns (1), .java (1), .raw (1)",".h (268), .cpp (205), .py (89), .sh (15), .c (13), .java (1)",
"bitcoin-0.13.0","1346","16521038","773","6952935","*","41432","82986","610","0.45319465081723626","10459833","0.6331220229624798","*","23715","6716","364","0.47089262613195343","4492391","0.6461143387648526","*",".h (276), .cpp (214), .png (125), .md (113), .py (101), .ts (85), .cc (70), .json (54),  (48), .mk (42), .pgp (22), .svg (18), .m4 (16), .c (16), .ui (16), .sh (14), .hex (12), .in (11), .yml (8), .include (8), .txt (6), .bash-completion (5), .xpm (5), .am (4), .conf (4), .rc (4), .ac (3), .install (3), .1 (3), .ico (3), .html (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .pri (1), .css (1), .proto (1), .icns (1), .java (1)",".h (276), .cpp (214), .py (101), .c (16), .sh (14), .java (1)",
