"Bitcoin Core Version","Num all files","Size all files (B)","Num code files (cpp, cc, py, h, sh, c, java, mk)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram","Code file extenension histogram",
"bitcoin-0.10.0","450","3821580","391","3216567","*","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","*",".h (181), .cpp (128), .cc (70),  (14), .json (11), .hex (8), .c (7), .md (6), .include (3), .txt (3), .html (3), .rc (2), .am (2), .py (2), .in (2), .sh (2), .raw (1), .yml (1), .ac (1), .asm (1), .java (1), .css (1)",".h (181), .cpp (128), .cc (70), .c (7), .py (2), .sh (2), .java (1)",
"bitcoin-0.10.1","451","3839257","392","3234217","*","6945","2890","93","0.20620842572062084","6308606","1.6431840848372485","*","667","344","26","0.0663265306122449","634098","0.19605920072771865","*",".h (181), .cpp (129), .cc (70),  (14), .json (11), .hex (8), .c (7), .md (6), .include (3), .txt (3), .html (3), .rc (2), .am (2), .py (2), .in (2), .sh (2), .raw (1), .yml (1), .ac (1), .asm (1), .java (1), .css (1)",".h (181), .cpp (129), .cc (70), .c (7), .py (2), .sh (2), .java (1)",
"bitcoin-0.10.2","451","3839879","392","3234839","*","3665","624","75","0.1662971175166297","5743691","1.495799997864516","*","23","8","5","0.012755102040816327","82531","0.025513170825503216","*",".h (181), .cpp (129), .cc (70),  (14), .json (11), .hex (8), .c (7), .md (6), .include (3), .txt (3), .html (3), .rc (2), .am (2), .py (2), .in (2), .sh (2), .raw (1), .yml (1), .ac (1), .asm (1), .java (1), .css (1)",".h (181), .cpp (129), .cc (70), .c (7), .py (2), .sh (2), .java (1)",
"bitcoin-0.10.3","451","3845295","392","3240255","*","4381","3669","79","0.17516629711751663","6191037","1.6100291395068518","*","151","51","28","0.07142857142857142","767847","0.2369711643065129","*",".h (181), .cpp (129), .cc (70),  (14), .json (11), .hex (8), .c (7), .md (6), .include (3), .txt (3), .html (3), .rc (2), .am (2), .py (2), .in (2), .sh (2), .raw (1), .yml (1), .ac (1), .asm (1), .java (1), .css (1)",".h (181), .cpp (129), .cc (70), .c (7), .py (2), .sh (2), .java (1)",
"bitcoin-0.10.4","451","3857115","392","3242011","*","946","277","38","0.08425720620842572","1523166","0.3948977409281289","*","253","262","27","0.06887755102040816","610591","0.18833711545087292","*",".h (181), .cpp (129), .cc (70),  (14), .json (11), .hex (8), .c (7), .md (6), .include (3), .txt (3), .html (3), .rc (2), .am (2), .py (2), .in (2), .sh (2), .raw (1), .yml (1), .ac (1), .asm (1), .java (1), .css (1)",".h (181), .cpp (129), .cc (70), .c (7), .py (2), .sh (2), .java (1)",
"bitcoin-0.11.1","472","4148935","415","3541980","*","29052","22092","602","1.2754237288135593","10220487","2.4634001255743945","*","17921","9255","375","0.9036144578313253","3375660","0.9530432131180865","*",".h (196), .cpp (137), .cc (70),  (14), .json (9), .hex (8), .c (8), .md (6), .rc (3), .include (3), .txt (3), .html (3), .am (2), .py (2), .in (2), .raw (1), .yml (1), .ac (1), .sh (1), .java (1), .css (1)",".h (196), .cpp (137), .cc (70), .c (8), .py (2), .sh (1), .java (1)",
"bitcoin-0.11.2","472","4165667","415","3548670","*","490","280","37","0.07838983050847458","866356","0.20797533744295932","*","373","278","33","0.07951807228915662","795935","0.22429107242995264","*",".h (196), .cpp (137), .cc (70),  (14), .json (9), .hex (8), .c (8), .md (6), .rc (3), .include (3), .txt (3), .html (3), .am (2), .py (2), .in (2), .raw (1), .yml (1), .ac (1), .sh (1), .java (1), .css (1)",".h (196), .cpp (137), .cc (70), .c (8), .py (2), .sh (1), .java (1)",
"bitcoin-0.12.0","565","4769234","450","4128155","*","47385","18675","579","1.024778761061947","10665900","2.236396872118248","*","26144","8231","367","0.8155555555555556","3878200","0.9394511591740136","*",".h (212), .cpp (150), .cc (70), .json (50),  (21), .c (13), .hex (10), .include (7), .md (6), .in (4), .rc (3), .am (3), .html (3), .yml (2), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .java (1), .css (1)",".h (212), .cpp (150), .cc (70), .c (13), .sh (2), .py (2), .java (1)",
"bitcoin-0.12.1","568","4836893","453","4182726","*","7838","493","67","0.11795774647887323","3575252","0.739162929591372","*","1366","147","35","0.0772626931567329","1028047","0.24578396959303575","*",".h (213), .cpp (152), .cc (70), .json (50),  (21), .c (13), .hex (10), .include (7), .md (6), .in (4), .rc (3), .am (3), .html (3), .yml (2), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .java (1), .css (1)",".h (213), .cpp (152), .cc (70), .c (13), .sh (2), .py (2), .java (1)",
"bitcoin-0.13.0","596","5274438","473","4541426","*","29043","79874","398","0.6677852348993288","8179368","1.550756308065428","*","14663","4872","266","0.5623678646934461","3293432","0.7251977682780695","*",".h (221), .cpp (161), .cc (70), .json (54),  (22), .c (16), .hex (12), .include (8), .md (7), .in (4), .rc (3), .am (3), .html (3), .yml (2), .ac (2), .sh (2), .py (2), .txt (2), .java (1), .css (1)",".h (221), .cpp (161), .cc (70), .c (16), .sh (2), .py (2), .java (1)",
"bitcoin-0.13.1","607","5421767","473","4578010","*","17470","1537","169","0.2784184514003295","6826808","1.2591481706978556","*","1011","391","66","0.13953488372093023","1692263","0.3696503502613581","*",".h (221), .cpp (161), .cc (70), .json (65),  (22), .c (16), .hex (12), .include (8), .md (7), .in (4), .rc (3), .am (3), .html (3), .yml (2), .ac (2), .sh (2), .py (2), .txt (2), .java (1), .css (1)",".h (221), .cpp (161), .cc (70), .c (16), .sh (2), .py (2), .java (1)",
